Datetime,VHM0,VMDR,VTPK,CardinalDirection
2022-01-01 00:00:00,1.68,291.07,13.049999,W
2022-01-01 03:00:00,1.64,291.36,13.13,W
2022-01-01 06:00:00,1.63,291.05,13.62,W
2022-01-01 09:00:00,1.63,295.22998,13.219999,NW
2022-01-01 12:00:00,1.56,290.13,13.38,W
2022-01-01 15:00:00,1.61,291.29,13.41,W
2022-01-01 18:00:00,1.63,292.69,13.37,NW
2022-01-01 21:00:00,1.6899999,293.3,13.36,NW
2022-01-02 00:00:00,1.76,293.31,13.24,NW
2022-01-02 03:00:00,1.8199999,293.15,13.059999,NW
2022-01-02 06:00:00,1.8499999,292.87,12.86,NW
2022-01-02 09:00:00,1.86,292.81,12.63,NW
2022-01-02 12:00:00,1.8399999,293.3,12.469999,NW
2022-01-02 15:00:00,1.81,293.72998,12.42,NW
2022-01-02 18:00:00,1.77,293.99,12.37,NW
2022-01-02 21:00:00,1.75,294.16,12.38,NW
2022-01-03 00:00:00,1.73,294.51,12.45,NW
2022-01-03 03:00:00,1.7199999,294.74,12.55,NW
2022-01-03 06:00:00,1.6999999,294.69,12.62,NW
2022-01-03 09:00:00,1.66,295.03,12.55,NW
2022-01-03 12:00:00,1.61,296.21,12.38,NW
2022-01-03 15:00:00,1.5699999,297.69,12.25,NW
2022-01-03 18:00:00,1.5,299.0,12.08,NW
2022-01-03 21:00:00,1.4,299.69,11.83,NW
2022-01-04 00:00:00,1.29,299.26,11.34,NW
2022-01-04 03:00:00,1.26,299.19,11.05,NW
2022-01-04 06:00:00,1.26,301.19,11.01,NW
2022-01-04 09:00:00,1.25,304.87,11.0,NW
2022-01-04 12:00:00,1.23,309.7,10.889999,NW
2022-01-04 15:00:00,1.24,314.43,10.88,NW
2022-01-04 18:00:00,1.25,318.21,17.73,NW
2022-01-04 21:00:00,1.31,321.88,17.119999,NW
2022-01-05 00:00:00,1.43,325.56,15.83,NW
2022-01-05 03:00:00,1.5799999,329.46,15.48,NW
2022-01-05 06:00:00,1.75,333.11,15.559999,NW
2022-01-05 09:00:00,1.9699999,335.64,15.42,NW
2022-01-05 12:00:00,2.21,336.38,15.29,NW
2022-01-05 15:00:00,2.6,336.34998,14.91,NW
2022-01-05 18:00:00,3.01,337.53,8.51,N
2022-01-05 21:00:00,3.3799999,339.89,9.03,N
2022-01-06 00:00:00,3.56,342.05,9.21,N
2022-01-06 03:00:00,3.54,342.62,9.37,N
2022-01-06 06:00:00,3.37,341.94,9.38,N
2022-01-06 09:00:00,3.1799998,341.3,9.29,N
2022-01-06 12:00:00,3.04,340.72,9.179999,N
2022-01-06 15:00:00,2.87,340.09,8.88,N
2022-01-06 18:00:00,2.97,339.45,8.44,N
2022-01-06 21:00:00,3.09,339.72,8.5199995,N
2022-01-07 00:00:00,3.0,340.72,8.5199995,N
2022-01-07 03:00:00,2.8999999,340.82,8.67,N
2022-01-07 06:00:00,2.76,339.77,9.04,N
2022-01-07 09:00:00,2.84,334.2,9.33,NW
2022-01-07 12:00:00,2.98,334.9,9.82,NW
2022-01-07 15:00:00,2.9099998,334.43,9.929999,NW
2022-01-07 18:00:00,2.6399999,335.37,10.03,NW
2022-01-07 21:00:00,2.7,335.18,16.9,NW
2022-01-08 00:00:00,2.77,333.94,18.52,NW
2022-01-08 03:00:00,2.9399998,332.5,18.27,NW
2022-01-08 06:00:00,3.1799998,331.28,17.75,NW
2022-01-08 09:00:00,3.37,330.3,17.619999,NW
2022-01-08 12:00:00,3.59,329.69,17.96,NW
2022-01-08 15:00:00,3.74,329.47,17.949999,NW
2022-01-08 18:00:00,3.85,329.45,17.96,NW
2022-01-08 21:00:00,3.9099998,329.46,17.97,NW
2022-01-09 00:00:00,3.9099998,329.83002,17.84,NW
2022-01-09 03:00:00,3.83,330.41,17.66,NW
2022-01-09 06:00:00,3.73,330.72998,17.47,NW
2022-01-09 09:00:00,3.55,330.83002,17.3,NW
2022-01-09 12:00:00,3.4299998,330.61,17.09,NW
2022-01-09 15:00:00,3.26,330.3,16.91,NW
2022-01-09 18:00:00,3.1,330.25,16.44,NW
2022-01-09 21:00:00,3.06,330.58002,16.38,NW
2022-01-10 00:00:00,2.8999999,331.14,16.13,NW
2022-01-10 03:00:00,2.79,331.41,16.109999,NW
2022-01-10 06:00:00,2.76,331.83002,16.33,NW
2022-01-10 09:00:00,2.6699998,332.03,16.22,NW
2022-01-10 12:00:00,2.54,332.52,16.16,NW
2022-01-10 15:00:00,2.4299998,333.18,16.21,NW
2022-01-10 18:00:00,2.44,334.11,16.5,NW
2022-01-10 21:00:00,2.46,333.86,16.35,NW
2022-01-11 00:00:00,2.3899999,334.74,18.859999,NW
2022-01-11 03:00:00,2.44,335.03,18.539999,NW
2022-01-11 06:00:00,2.37,335.55,17.89,NW
2022-01-11 09:00:00,2.36,336.16,17.32,NW
2022-01-11 12:00:00,2.4299998,335.86,17.05,NW
2022-01-11 15:00:00,2.3799999,335.81,16.41,NW
2022-01-11 18:00:00,2.3,335.53,16.07,NW
2022-01-11 21:00:00,2.02,334.88,14.969999,NW
2022-01-12 00:00:00,1.9599999,333.44,14.73,NW
2022-01-12 03:00:00,1.91,332.01,14.49,NW
2022-01-12 06:00:00,1.91,329.53998,15.07,NW
2022-01-12 09:00:00,1.9599999,328.06,16.0,NW
2022-01-12 12:00:00,1.9599999,326.56,15.67,NW
2022-01-12 15:00:00,1.99,325.78998,15.2,NW
2022-01-12 18:00:00,2.05,325.59998,15.07,NW
2022-01-12 21:00:00,2.19,326.3,18.8,NW
2022-01-13 00:00:00,2.3899999,326.8,18.82,NW
2022-01-13 03:00:00,2.62,326.94,18.44,NW
2022-01-13 06:00:00,2.79,327.01,18.029999,NW
2022-01-13 09:00:00,3.1299999,326.14,18.449999,NW
2022-01-13 12:00:00,2.97,326.08002,17.17,NW
2022-01-13 15:00:00,2.77,326.84998,16.52,NW
2022-01-13 18:00:00,2.57,327.13,16.01,NW
2022-01-13 21:00:00,2.56,327.58002,16.05,NW
2022-01-14 00:00:00,2.1599998,327.59998,14.95,NW
2022-01-14 03:00:00,2.02,327.93,14.5199995,NW
2022-01-14 06:00:00,1.9499999,328.75,14.25,NW
2022-01-14 09:00:00,1.89,334.41998,13.66,NW
2022-01-14 12:00:00,1.81,331.26,13.63,NW
2022-01-14 15:00:00,1.61,329.3,13.33,NW
2022-01-14 18:00:00,1.43,327.59,13.15,NW
2022-01-14 21:00:00,1.31,326.52002,13.03,NW
2022-01-15 00:00:00,1.24,325.8,12.96,NW
2022-01-15 03:00:00,1.18,325.32,12.91,NW
2022-01-15 06:00:00,1.12,324.97,12.889999,NW
2022-01-15 09:00:00,1.12,324.27002,13.19,NW
2022-01-15 12:00:00,0.96,322.33002,13.17,NW
2022-01-15 15:00:00,0.90999997,321.47,14.53,NW
2022-01-15 18:00:00,0.91999996,320.93,14.75,NW
2022-01-15 21:00:00,0.84999996,321.11,14.07,NW
2022-01-16 00:00:00,0.89,322.14,14.299999,NW
2022-01-16 03:00:00,0.96,319.93,14.61,NW
2022-01-16 06:00:00,0.98999995,318.51,14.559999,NW
2022-01-16 09:00:00,0.97999996,316.7,14.309999,NW
2022-01-16 12:00:00,0.96,314.59,13.91,NW
2022-01-16 15:00:00,0.93,313.53998,13.53,NW
2022-01-16 18:00:00,0.96,312.57,13.7,NW
2022-01-16 21:00:00,0.9,311.68,13.2,NW
2022-01-17 00:00:00,0.91999996,315.44,13.009999,NW
2022-01-17 03:00:00,0.96,316.33002,13.09,NW
2022-01-17 06:00:00,1.02,316.37,13.41,NW
2022-01-17 09:00:00,1.0799999,317.07,13.559999,NW
2022-01-17 12:00:00,1.06,318.16,13.2,NW
2022-01-17 15:00:00,1.0799999,320.49,13.17,NW
2022-01-17 18:00:00,1.74,322.77002,15.639999,NW
2022-01-17 21:00:00,1.3199999,323.24,13.57,NW
2022-01-18 00:00:00,1.24,324.75,13.13,NW
2022-01-18 03:00:00,1.29,326.76,13.0,NW
2022-01-18 06:00:00,1.3199999,328.59,12.94,NW
2022-01-18 09:00:00,1.3399999,329.58002,12.94,NW
2022-01-18 12:00:00,1.3399999,330.32,12.82,NW
2022-01-18 15:00:00,1.31,330.99,12.509999,NW
2022-01-18 18:00:00,1.23,331.72,12.28,NW
2022-01-18 21:00:00,1.13,332.05,12.059999,NW
2022-01-19 00:00:00,1.06,332.34,11.98,NW
2022-01-19 03:00:00,0.97999996,332.31,11.84,NW
2022-01-19 06:00:00,0.91999996,331.84998,11.78,NW
2022-01-19 09:00:00,0.9,330.78,11.86,NW
2022-01-19 12:00:00,0.87,329.06,11.7699995,NW
2022-01-19 15:00:00,0.83,326.95,11.5199995,NW
2022-01-19 18:00:00,0.81,324.39,11.24,NW
2022-01-19 21:00:00,0.82,320.56,18.33,NW
2022-01-20 00:00:00,0.84999996,317.12,17.66,NW
2022-01-20 03:00:00,0.9,311.88,17.44,NW
2022-01-20 06:00:00,0.96,306.35,17.289999,NW
2022-01-20 09:00:00,0.85999995,308.82,14.61,NW
2022-01-20 12:00:00,0.76,306.25,13.809999,NW
2022-01-20 15:00:00,0.81,303.64,13.799999,NW
2022-01-20 18:00:00,0.90999997,302.5,14.29,NW
2022-01-20 21:00:00,0.81,301.45,13.0,NW
2022-01-21 00:00:00,0.89,301.94,13.08,NW
2022-01-21 03:00:00,1.06,301.47998,13.71,NW
2022-01-21 06:00:00,1.16,300.66998,13.929999,NW
2022-01-21 09:00:00,1.23,299.43,13.88,NW
2022-01-21 12:00:00,1.25,298.43,13.639999,NW
2022-01-21 15:00:00,1.26,297.35,13.42,NW
2022-01-21 18:00:00,1.23,297.62,13.24,NW
2022-01-21 21:00:00,1.2099999,298.36,13.059999,NW
2022-01-22 00:00:00,1.25,292.86,12.78,NW
2022-01-22 03:00:00,1.29,277.63,12.49,W
2022-01-22 06:00:00,1.28,267.12,12.36,W
2022-01-22 09:00:00,1.3,254.82,12.21,W
2022-01-22 12:00:00,1.36,237.56,12.0199995,SW
2022-01-22 15:00:00,1.24,269.32,11.79,W
2022-01-22 18:00:00,1.17,284.47998,11.63,W
2022-01-22 21:00:00,1.09,294.06,11.469999,NW
2022-01-23 00:00:00,1.02,299.41998,11.08,NW
2022-01-23 03:00:00,0.98999995,302.79,10.84,NW
2022-01-23 06:00:00,0.95,306.53,10.55,NW
2022-01-23 09:00:00,0.96,308.61,17.1,NW
2022-01-23 12:00:00,1.0,307.97998,17.14,NW
2022-01-23 15:00:00,1.01,307.8,16.43,NW
2022-01-23 18:00:00,0.90999997,306.38,14.719999,NW
2022-01-23 21:00:00,0.96999997,304.22998,14.559999,NW
2022-01-24 00:00:00,1.03,300.93,14.32,NW
2022-01-24 03:00:00,1.03,301.63,14.219999,NW
2022-01-24 06:00:00,1.06,301.87,14.179999,NW
2022-01-24 09:00:00,1.06,301.81,13.98,NW
2022-01-24 12:00:00,1.0,302.21,13.5,NW
2022-01-24 15:00:00,0.97999996,303.69,13.139999,NW
2022-01-24 18:00:00,0.96999997,304.91998,13.07,NW
2022-01-24 21:00:00,0.90999997,306.76,12.44,NW
2022-01-25 00:00:00,0.96999997,310.57,12.69,NW
2022-01-25 03:00:00,1.06,319.02002,12.45,NW
2022-01-25 06:00:00,1.15,325.84,12.219999,NW
2022-01-25 09:00:00,1.17,326.89,12.099999,NW
2022-01-25 12:00:00,1.13,325.76,12.0,NW
2022-01-25 15:00:00,1.09,324.41,11.91,NW
2022-01-25 18:00:00,1.06,324.71,11.79,NW
2022-01-25 21:00:00,1.0699999,325.88,11.67,NW
2022-01-26 00:00:00,1.0699999,327.37,11.57,NW
2022-01-26 03:00:00,1.05,327.46,11.57,NW
2022-01-26 06:00:00,1.06,326.01,11.46,NW
2022-01-26 09:00:00,1.0799999,324.84,8.33,NW
2022-01-26 12:00:00,1.12,324.77002,8.49,NW
2022-01-26 15:00:00,1.11,326.87,8.69,NW
2022-01-26 18:00:00,1.09,329.44,8.65,NW
2022-01-26 21:00:00,1.13,331.39,14.299999,NW
2022-01-27 00:00:00,1.14,331.82,14.059999,NW
2022-01-27 03:00:00,1.13,331.76,13.67,NW
2022-01-27 06:00:00,1.11,331.63,13.53,NW
2022-01-27 09:00:00,1.0699999,332.84998,12.98,NW
2022-01-27 12:00:00,1.0699999,330.91,12.92,NW
2022-01-27 15:00:00,1.0799999,330.15,12.799999,NW
2022-01-27 18:00:00,1.11,330.16998,13.17,NW
2022-01-27 21:00:00,1.18,331.52,13.21,NW
2022-01-28 00:00:00,1.24,332.97998,13.03,NW
2022-01-28 03:00:00,1.24,334.87,12.86,NW
2022-01-28 06:00:00,1.22,337.76,12.639999,N
2022-01-28 09:00:00,1.1899999,338.59,12.33,N
2022-01-28 12:00:00,1.27,338.16998,12.759999,N
2022-01-28 15:00:00,1.17,335.91,12.23,NW
2022-01-28 18:00:00,1.05,334.47,11.7,NW
2022-01-28 21:00:00,1.0799999,334.06,11.74,NW
2022-01-29 00:00:00,1.13,339.7,11.559999,N
2022-01-29 03:00:00,1.18,347.86,11.07,N
2022-01-29 06:00:00,1.09,347.75,10.73,N
2022-01-29 09:00:00,0.98999995,345.25,10.55,N
2022-01-29 12:00:00,0.93,343.53,10.2699995,N
2022-01-29 15:00:00,0.9,342.2,10.05,N
2022-01-29 18:00:00,0.95,341.72,10.179999,N
2022-01-29 21:00:00,0.97999996,343.15,10.04,N
2022-01-30 00:00:00,0.96999997,345.66,9.75,N
2022-01-30 03:00:00,1.04,352.53998,9.599999,N
2022-01-30 06:00:00,1.15,9.9900055,12.099999,N
2022-01-30 09:00:00,1.0699999,7.3200073,12.009999,N
2022-01-30 12:00:00,0.96,358.52,11.889999,N
2022-01-30 15:00:00,0.88,354.8,11.74,N
2022-01-30 18:00:00,0.88,1.3600006,11.79,N
2022-01-30 21:00:00,0.74,27.589996,10.25,NE
2022-01-31 00:00:00,0.93,110.950005,3.6299999,E
2022-01-31 03:00:00,1.02,100.53,3.9399998,E
2022-01-31 06:00:00,1.06,80.91,4.0699997,E
2022-01-31 09:00:00,0.89,33.0,10.83,NE
2022-01-31 12:00:00,0.71999997,4.900009,10.57,N
2022-01-31 15:00:00,0.65,354.3,10.3,N
2022-01-31 18:00:00,0.62,347.62,10.179999,N
2022-01-31 21:00:00,0.62,344.53,13.5199995,N
2022-02-01 00:00:00,0.63,342.08002,13.719999,N
2022-02-01 03:00:00,0.62,339.14,13.78,N
2022-02-01 06:00:00,0.64,338.37,13.599999,N
2022-02-01 09:00:00,0.69,339.86,13.66,N
2022-02-01 12:00:00,0.76,341.64,14.0199995,N
2022-02-01 15:00:00,0.85999995,342.47998,14.34,N
2022-02-01 18:00:00,0.9,342.88,14.08,N
2022-02-01 21:00:00,0.90999997,343.49,13.44,N
2022-02-02 00:00:00,0.88,343.57,12.969999,N
2022-02-02 03:00:00,0.87,344.14,12.38,N
2022-02-02 06:00:00,0.93,344.59,12.11,N
2022-02-02 09:00:00,1.01,344.44,11.95,N
2022-02-02 12:00:00,1.1,343.97,11.79,N
2022-02-02 15:00:00,1.1999999,344.47,11.389999,N
2022-02-02 18:00:00,1.27,345.34,11.25,N
2022-02-02 21:00:00,1.28,346.06,11.19,N
2022-02-03 00:00:00,1.24,346.63,10.94,N
2022-02-03 03:00:00,1.2099999,347.36,10.76,N
2022-02-03 06:00:00,1.22,350.75,10.7699995,N
2022-02-03 09:00:00,1.22,350.43,10.91,N
2022-02-03 12:00:00,1.16,347.27,11.08,N
2022-02-03 15:00:00,1.1,345.31,12.929999,N
2022-02-03 18:00:00,1.06,344.16,13.0,N
2022-02-03 21:00:00,1.09,343.27,13.07,N
2022-02-04 00:00:00,1.11,342.51,12.87,N
2022-02-04 03:00:00,1.18,341.2,12.91,N
2022-02-04 06:00:00,1.1899999,338.91,12.87,N
2022-02-04 09:00:00,1.14,335.32,12.19,NW
2022-02-04 12:00:00,1.0799999,331.36,16.109999,NW
2022-02-04 15:00:00,1.05,327.95,15.79,NW
2022-02-04 18:00:00,1.05,324.97,15.5199995,NW
2022-02-04 21:00:00,1.0699999,322.53998,15.349999,NW
2022-02-05 00:00:00,1.0699999,319.43,15.12,NW
2022-02-05 03:00:00,1.05,317.05,14.74,NW
2022-02-05 06:00:00,1.05,316.11,14.54,NW
2022-02-05 09:00:00,0.98999995,317.72998,14.0199995,NW
2022-02-05 12:00:00,0.96999997,320.59998,13.37,NW
2022-02-05 15:00:00,0.98999995,326.28,13.03,NW
2022-02-05 18:00:00,1.03,328.26,12.84,NW
2022-02-05 21:00:00,1.05,325.78998,12.799999,NW
2022-02-06 00:00:00,1.11,328.93,12.969999,NW
2022-02-06 03:00:00,1.24,331.57,13.98,NW
2022-02-06 06:00:00,1.3299999,334.81,14.809999,NW
2022-02-06 09:00:00,1.36,337.96,14.04,N
2022-02-06 12:00:00,1.35,339.0,13.299999,N
2022-02-06 15:00:00,1.38,338.91998,13.049999,N
2022-02-06 18:00:00,1.4399999,339.06,13.0199995,N
2022-02-06 21:00:00,1.54,338.53,13.099999,N
2022-02-07 00:00:00,1.63,337.84998,13.17,N
2022-02-07 03:00:00,1.67,337.16998,12.99,NW
2022-02-07 06:00:00,1.6999999,336.89,12.84,NW
2022-02-07 09:00:00,1.9,336.58002,13.12,NW
2022-02-07 12:00:00,1.9599999,336.9,13.0199995,NW
2022-02-07 15:00:00,1.9499999,336.84998,12.83,NW
2022-02-07 18:00:00,1.87,337.72,12.17,N
2022-02-07 21:00:00,1.74,338.59998,11.53,N
2022-02-08 00:00:00,1.74,339.02,14.7,N
2022-02-08 03:00:00,1.9,340.13,19.75,N
2022-02-08 06:00:00,2.1,340.96,19.49,N
2022-02-08 09:00:00,2.28,340.94,19.09,N
2022-02-08 12:00:00,2.36,340.57,18.02,N
2022-02-08 15:00:00,2.18,339.27,16.93,N
2022-02-08 18:00:00,2.26,338.41998,17.119999,N
2022-02-08 21:00:00,2.1399999,337.97998,16.35,N
2022-02-09 00:00:00,2.1,337.99,16.05,N
2022-02-09 03:00:00,2.03,338.33002,15.809999,N
2022-02-09 06:00:00,1.9499999,339.24,15.48,N
2022-02-09 09:00:00,1.8499999,337.89,14.389999,N
2022-02-09 12:00:00,1.65,340.78998,13.67,N
2022-02-09 15:00:00,1.5999999,339.63,13.88,N
2022-02-09 18:00:00,1.56,338.83002,13.59,N
2022-02-09 21:00:00,1.55,338.03998,13.5,N
2022-02-10 00:00:00,1.5699999,337.18,21.13,NW
2022-02-10 03:00:00,1.68,336.09,20.75,NW
2022-02-10 06:00:00,1.9,334.68,20.23,NW
2022-02-10 09:00:00,2.1399999,334.02,19.68,NW
2022-02-10 12:00:00,2.37,333.02,19.289999,NW
2022-02-10 15:00:00,2.56,332.58002,18.9,NW
2022-02-10 18:00:00,2.6599998,331.81,18.26,NW
2022-02-10 21:00:00,2.73,331.39,17.789999,NW
2022-02-11 00:00:00,2.78,331.06,17.59,NW
2022-02-11 03:00:00,2.84,331.24,17.59,NW
2022-02-11 06:00:00,2.8899999,331.45,17.699999,NW
2022-02-11 09:00:00,2.9399998,331.76,17.64,NW
2022-02-11 12:00:00,2.9299998,331.41998,17.42,NW
2022-02-11 15:00:00,2.9199998,331.64,17.16,NW
2022-02-11 18:00:00,2.8899999,330.8,17.05,NW
2022-02-11 21:00:00,2.8899999,331.01,17.029999,NW
2022-02-12 00:00:00,2.87,331.66998,16.81,NW
2022-02-12 03:00:00,2.84,332.94,16.44,NW
2022-02-12 06:00:00,2.62,334.08002,15.759999,NW
2022-02-12 09:00:00,2.46,334.51,15.19,NW
2022-02-12 12:00:00,2.45,334.71,15.4,NW
2022-02-12 15:00:00,2.4199998,334.43,15.299999,NW
2022-02-12 18:00:00,2.1599998,335.05,14.16,NW
2022-02-12 21:00:00,2.3,335.66998,14.5,NW
2022-02-13 00:00:00,2.22,336.09,14.299999,NW
2022-02-13 03:00:00,2.05,336.28,14.049999,NW
2022-02-13 06:00:00,1.9,336.28,13.53,NW
2022-02-13 09:00:00,1.8499999,336.58002,13.299999,NW
2022-02-13 12:00:00,1.6999999,335.52,12.969999,NW
2022-02-13 15:00:00,1.55,335.52,12.42,NW
2022-02-13 18:00:00,1.41,335.63,11.86,NW
2022-02-13 21:00:00,1.29,335.47998,11.28,NW
2022-02-14 00:00:00,1.28,335.44,10.79,NW
2022-02-14 03:00:00,1.42,337.24,10.36,NW
2022-02-14 06:00:00,1.4599999,338.05,6.37,N
2022-02-14 09:00:00,1.39,337.11,6.41,NW
2022-02-14 12:00:00,1.36,336.09,9.08,NW
2022-02-14 15:00:00,1.37,335.2,12.29,NW
2022-02-14 18:00:00,1.43,335.02,12.34,NW
2022-02-14 21:00:00,1.56,335.86,9.179999,NW
2022-02-15 00:00:00,1.73,337.61,6.67,N
2022-02-15 03:00:00,1.9399999,338.41,6.97,N
2022-02-15 06:00:00,2.1599998,336.69,12.21,NW
2022-02-15 09:00:00,2.06,334.06,11.82,NW
2022-02-15 12:00:00,1.9599999,332.81,11.34,NW
2022-02-15 15:00:00,1.87,333.15,10.92,NW
2022-02-15 18:00:00,1.99,334.55,10.5,NW
2022-02-15 21:00:00,2.2,336.15,8.42,NW
2022-02-16 00:00:00,2.3,337.27,8.54,NW
2022-02-16 03:00:00,2.33,337.72,8.92,N
2022-02-16 06:00:00,2.35,338.46,13.19,N
2022-02-16 09:00:00,2.33,339.25,13.08,N
2022-02-16 12:00:00,2.37,339.71,13.07,N
2022-02-16 15:00:00,2.26,339.53998,12.929999,N
2022-02-16 18:00:00,2.09,339.41,12.67,N
2022-02-16 21:00:00,2.12,339.55,12.799999,N
2022-02-17 00:00:00,1.9599999,339.88,12.24,N
2022-02-17 03:00:00,1.86,341.06,11.809999,N
2022-02-17 06:00:00,1.8,341.33002,11.49,N
2022-02-17 09:00:00,1.7199999,340.88,11.08,N
2022-02-17 12:00:00,1.67,340.2,10.7,N
2022-02-17 15:00:00,1.5899999,340.14,10.0199995,N
2022-02-17 18:00:00,1.51,340.47998,9.8,N
2022-02-17 21:00:00,1.4599999,340.68,9.83,N
2022-02-18 00:00:00,1.4399999,340.16998,10.07,N
2022-02-18 03:00:00,1.4499999,339.19,16.38,N
2022-02-18 06:00:00,1.54,337.61,16.27,N
2022-02-18 09:00:00,1.7199999,336.74,16.289999,NW
2022-02-18 12:00:00,1.93,334.45,16.52,NW
2022-02-18 15:00:00,2.0,332.51,16.029999,NW
2022-02-18 18:00:00,2.21,330.06,16.13,NW
2022-02-18 21:00:00,2.4299998,328.72998,16.119999,NW
2022-02-19 00:00:00,2.56,324.88,15.509999,NW
2022-02-19 03:00:00,2.57,324.76,15.42,NW
2022-02-19 06:00:00,2.4299998,325.22998,14.809999,NW
2022-02-19 09:00:00,2.34,325.38,14.49,NW
2022-02-19 12:00:00,2.27,325.25,14.13,NW
2022-02-19 15:00:00,2.34,326.16998,13.9,NW
2022-02-19 18:00:00,2.73,329.89,15.46,NW
2022-02-19 21:00:00,3.4299998,333.69,15.589999,NW
2022-02-20 00:00:00,4.08,333.74,15.44,NW
2022-02-20 03:00:00,4.36,332.22,14.809999,NW
2022-02-20 06:00:00,4.25,331.4,14.46,NW
2022-02-20 09:00:00,4.0499997,331.15,14.2,NW
2022-02-20 12:00:00,3.9499998,330.95,14.009999,NW
2022-02-20 15:00:00,3.85,330.8,13.98,NW
2022-02-20 18:00:00,3.73,330.99,13.88,NW
2022-02-20 21:00:00,3.33,330.75,13.469999,NW
2022-02-21 00:00:00,3.4099998,330.28,14.82,NW
2022-02-21 03:00:00,3.26,330.15,15.54,NW
2022-02-21 06:00:00,3.1,330.09,15.44,NW
2022-02-21 09:00:00,3.02,330.3,15.04,NW
2022-02-21 12:00:00,2.8999999,329.26,14.679999,NW
2022-02-21 15:00:00,2.77,329.21,14.44,NW
2022-02-21 18:00:00,2.61,329.8,13.96,NW
2022-02-21 21:00:00,2.56,332.34998,13.29,NW
2022-02-22 00:00:00,2.52,333.74,12.969999,NW
2022-02-22 03:00:00,2.5,333.89,12.74,NW
2022-02-22 06:00:00,2.53,334.28,17.619999,NW
2022-02-22 09:00:00,2.6799998,334.12,17.22,NW
2022-02-22 12:00:00,2.83,334.22,16.76,NW
2022-02-22 15:00:00,2.8,336.05,16.109999,NW
2022-02-22 18:00:00,2.7,335.87,15.969999,NW
2022-02-22 21:00:00,2.6,334.2,15.91,NW
2022-02-23 00:00:00,2.51,333.37,15.75,NW
2022-02-23 03:00:00,2.45,334.62,19.6,NW
2022-02-23 06:00:00,2.4299998,336.18,19.01,NW
2022-02-23 09:00:00,2.3999999,336.91998,17.91,NW
2022-02-23 12:00:00,2.36,337.84998,17.3,N
2022-02-23 15:00:00,2.25,337.26,16.6,NW
2022-02-23 18:00:00,2.1499999,336.52,15.95,NW
2022-02-23 21:00:00,2.22,336.7,15.58,NW
2022-02-24 00:00:00,2.3999999,338.22,15.03,N
2022-02-24 03:00:00,2.46,339.55,14.719999,N
2022-02-24 06:00:00,2.34,338.36,14.57,N
2022-02-24 09:00:00,2.1699998,335.89,14.389999,NW
2022-02-24 12:00:00,2.36,332.88,15.17,NW
2022-02-24 15:00:00,2.29,331.22998,15.17,NW
2022-02-24 18:00:00,2.02,331.24,14.469999,NW
2022-02-24 21:00:00,1.8499999,330.82,13.809999,NW
2022-02-25 00:00:00,1.8199999,329.15,13.65,NW
2022-02-25 03:00:00,1.8399999,328.32,13.66,NW
2022-02-25 06:00:00,1.9799999,328.26,13.91,NW
2022-02-25 09:00:00,2.21,329.64,20.1,NW
2022-02-25 12:00:00,2.44,330.69,19.41,NW
2022-02-25 15:00:00,2.75,331.47998,19.18,NW
2022-02-25 18:00:00,3.07,330.26,18.71,NW
2022-02-25 21:00:00,3.4099998,329.9,18.68,NW
2022-02-26 00:00:00,3.6599998,329.36,18.91,NW
2022-02-26 03:00:00,3.9199998,330.41998,18.97,NW
2022-02-26 06:00:00,4.19,332.19,18.77,NW
2022-02-26 09:00:00,4.2599998,332.87,17.92,NW
2022-02-26 12:00:00,4.24,332.87,17.47,NW
2022-02-26 15:00:00,4.13,332.91998,17.24,NW
2022-02-26 18:00:00,3.97,333.41,16.93,NW
2022-02-26 21:00:00,3.73,333.78998,16.33,NW
2022-02-27 00:00:00,3.61,334.34,15.99,NW
2022-02-27 03:00:00,3.4399998,334.47998,15.5199995,NW
2022-02-27 06:00:00,3.23,334.46,14.88,NW
2022-02-27 09:00:00,3.07,334.62,14.41,NW
2022-02-27 12:00:00,3.02,334.7,13.94,NW
2022-02-27 15:00:00,3.06,335.03,10.3,NW
2022-02-27 18:00:00,3.1599998,336.41998,10.099999,NW
2022-02-27 21:00:00,3.27,338.03998,9.83,N
2022-02-28 00:00:00,3.1,338.72,9.59,N
2022-02-28 03:00:00,2.96,338.25,9.389999,N
2022-02-28 06:00:00,2.6699998,337.46,9.0,NW
2022-02-28 09:00:00,2.75,334.84998,8.97,NW
2022-02-28 12:00:00,2.47,332.91,14.599999,NW
2022-02-28 15:00:00,2.8799999,331.61,16.94,NW
2022-02-28 18:00:00,3.06,331.24,17.42,NW
2022-02-28 21:00:00,3.1599998,331.45,17.039999,NW
2022-03-01 00:00:00,3.05,331.32,16.31,NW
2022-03-01 03:00:00,2.9399998,330.59,16.32,NW
2022-03-01 06:00:00,2.8899999,329.99,16.81,NW
2022-03-01 09:00:00,2.86,328.62,16.84,NW
2022-03-01 12:00:00,2.84,327.78,16.449999,NW
2022-03-01 15:00:00,2.83,326.88,16.109999,NW
2022-03-01 18:00:00,2.87,327.19,15.87,NW
2022-03-01 21:00:00,2.98,327.9,15.75,NW
2022-03-02 00:00:00,3.1299999,328.59,15.79,NW
2022-03-02 03:00:00,3.1999998,328.83002,15.83,NW
2022-03-02 06:00:00,3.35,328.72998,16.109999,NW
2022-03-02 09:00:00,3.1,328.3,15.57,NW
